submission_id,performance_detail_submission_id,date_of_submission,manufacturer,submission_title,target_pathogen,stage_of_development,country,region,permalink,regulatory_status,sensitivity,specificity,type_of_technology,assay_target,target_analyte,technology_principle,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,connectivity_solution,find_evaluation,s_gene_dropout,scov2_variants,city,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,sc2_impact_alpha,sc2_impact_beta,sc2_impact_delta,sc2_impact_delta_plus,sc2_impact_gamma,sc2_impact_omicron,sc2_impact_omicron_ba4,sc2_impact_omicron_ba5,country_tmp,city2,lat,lng,disease_target
a2r69000006SkZt,a266900000BsdsT,09.10.2023,"Hangzhou Fanttest Biotech Co.,Ltd.",Diagfest Covid -19/Influenza A & B Antigen Test Kit,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://fanttest.com,Australia TGA,92.5,98.33,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,160,300,460,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,China,China,36.55937195,103.7533493,Covid-19
a2r69000006SkZu,a266900000Bsdsd,09.10.2023,"Hangzhou Fanttest Biotech Co.,Ltd.",Fanttest Covid -19/Influenza A & B Antigen Test Kit,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://fanttest.com,Australia TGA,92.5,98.33,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,160,300,460,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,China,China,36.55937195,103.7533493,Covid-19
a2r69000006SkZv,a266900000Bsdsg,09.10.2023,"Hangzhou Testsea Biotechnology Co.,ltd.",Wellwisse COVID-19 ANTIGEN TEST CASSETTE,SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://testsealabs.de,Australia TGA,95,99,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,Hangzhou,Yes,Yes,Company-Sponsored,160,349,509,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,"Hangzhou, China",30.24592018,120.21079254,Covid-19
a2r69000006SkZw,a266900000Bsdsb,09.10.2023,Immunostics Inc.,Swab-N-Go Home Test COVID-19 Ag,SARS-CoV-2,Regulatory Achieved,United States,Region of the Americas,https://www.immunostics.com/,US FDA EUA,87.3,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,63,245,308,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,United States,39.50357056,-99.01834106,Covid-19
a2r69000006SkZx,a266900000Bsdsc,09.10.2023,"InTelos, Inc.",Mauve COVID-19 Ag Test,SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://intelos.co.kr,Korea MFDS,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Korea, Republic of",36.43822861,127.83287048,Covid-19
a2r69000006SkZz,a266900000Bsdsa,09.10.2023,Revital Healthcare EPZ Ltd,Cady Antigen Rapid Test Kit For COVID 19,SARS-CoV-2,Regulatory Achieved,Kenya,African Region,https://revitalhcare.com,CE-IVDD,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,Mombasa,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kenya,"Mombasa, Kenya",-4.05051994,39.66716766,Covid-19
a2r69000006Ska0,a266900000BsdsX,09.10.2023,"SD Biosensor, Inc.",STANDARD Q COVID-19 Ag Test 2.0,SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://sdbiosensor.com,US FDA EUA,93.2,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,Suwon-si,Yes,Yes,Company-Sponsored,44,114,158,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Covid-19
a2r69000006Ska1,a266900000BsdsY,09.10.2023,"Sekisui Medical Co., ltd.",OSOM COVID-19 Antigen Home Test,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific Region,https://sekisuimedical.jp,US FDA EUA,84.4,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,Tokyo,Yes,Yes,Company-Sponsored,45,151,196,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Japan,"Tokyo, Japan",35.68955231,139.69181824,Covid-19
a2r69000006Ska2,a266900000Bsdt3,09.10.2023,"Sekisui Medical Co., ltd.",OSOM COVID-19 Antigen Rapid Test,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific Region,https://sekisuimedical.jp,US FDA EUA,95.1,97,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,Tokyo,Yes,Yes,Company-Sponsored,41,263,304,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Japan,"Tokyo, Japan",35.68955231,139.69181824,Covid-19
a2r69000006Ska3,a266900000Bsdt4,09.10.2023,"SG Medical, Inc.",ACROSIS COVID-19 Ag (NPS),SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://sgmedical.kr,Korea MFDS,NA,NA,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,NA,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Korea, Republic of",36.43822861,127.83287048,Covid-19
a2r69000006Ska4,a266900000Bsdsz,09.10.2023,"Shenzhen Watmind Medical Co., ltd.",SARS-CoV-2 Ag Self-test Kit (Nasal Swab),SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://watmind.com,Australia TGA,94.55,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,Shenzhen,Yes,Yes,Company-Sponsored,110,450,560,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,China,"Shenzhen, China",22.54368019,114.0579071,Covid-19
a2r69000006Ska5,a266900000Bsdt9,09.10.2023,"3EO Health, Inc.",3EO Health COVID-19 Test,SARS-CoV-2,Regulatory Achieved,United States,Region of the Americas,https://3eohealth.com,US FDA EUA,95,100,Molecular,RNA,E gene; ORF1a; S gene,Isothermal LAMP,Cartridge-based processing,A proprietary/new instrument is required,Fully automated (including sample preparation),True Point of Care,Intended for self-testing (version available),Nasal swab,NA,No,Not applicable,Unknown,Beverly,Yes,Yes,Company-Sponsored,38,155,195,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,"Beverly, United States",42.55216217,-70.8826828,Covid-19
a2r69000006SkaA,a266900000Bsdsk,09.10.2023,GeneMe,SAVD+,SARS-CoV-2,Regulatory Achieved,Poland,European Region,https://geneme.eu/koronawirus,Australia TGA,NA,NA,Molecular,RNA,N gene; ORF1ab,qPCR,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Unknown,NA,No,Not applicable,Unknown,Gdańsk,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Poland,"Gdańsk, Poland",54.35603333,18.64612007,Covid-19
a2r69000006SkaB,a266900000Bsdsl,09.10.2023,"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.",Macro & Micro-Test SARS-CoV-2/Influenza A/Influenza B Multiplex Assay,Influenza A; Influenza B; SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://hongweitest.com,Australia TGA,NA,NA,Molecular,RNA,Unknown,qPCR,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,No,Not applicable,Unknown,Rudong County,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,"Rudong County, China",32.33174515,121.18488312,Covid-19
a2r69000006SkaC,a266900000Bsdsh,09.10.2023,LumiraDx Limited,LumiraDx SARS-CoV-2 & RSV Test,Respiratory Syncytial Virus (RSV); SARS-CoV-2,Regulatory Achieved,United Kingdom,European Region,https://lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions,MHRA UK,97.4,98.1,Immunoassay,Antigen,N-protein,Other,Cartridge-based processing,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,London,Yes,Yes,Company-Sponsored,39,52,91,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,United Kingdom,"London, United Kingdom",51.50682449,-0.12611847,Covid-19
a2r69000006SkaD,a266900000Bsdsj,09.10.2023,LumiraDx Limited,LumiraDx SARS-CoV-2 Ag Ultra,SARS-CoV-2,Regulatory Achieved,United Kingdom,European Region,https://lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions,MHRA UK,89.8,99.7,Immunoassay,Antigen,N-protein,Other,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Nasal swab,NA,No,Not applicable,Unknown,London,Yes,Yes,Company-Sponsored,166,311,477,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,United Kingdom,"London, United Kingdom",51.50682449,-0.12611847,Covid-19
a2r69000006SkaF,a266900000Bsdss,09.10.2023,"Shanghai BioGerm Medical Technology Co., Ltd.",Novel Coronavirus (2019-nCoV) Nucleic Acid Detection Kit,SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://en.bio-germ.com,Australia TGA; Brazil ANVISA; CE; China NMPA; Malaysia MDA; Philippines FDA; Singapore HSA; Other,99.24,99.14,Molecular,RNA,N gene; ORF1ab,qPCR,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab,NA,No,Not applicable,Unknown,Shanghai,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,China,"Shanghai, China",31.23036957,121.47370148,Covid-19
a2r69000006SkaG,a266900000Bsdsp,09.10.2023,Solgent Co.ltd.,"DiaPlexQ SARS-CoV-2 (N, ORF1a, RdRp) Fast Detection Kit",SARS-CoV-2,Regulatory Achieved,"Korea, Republic of",Western Pacific Region,https://solgent.com,CE; Korea MFDS,NA,NA,Molecular,RNA,N gene; ORF1a; RdRp gene,qPCR,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage; Mid-turbinate swab; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Sputum,NA,No,Not applicable,Unknown,Yuseong-gu,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Korea,"Yuseong-gu, Korea, Republic of",36.35808563,127.33637238,Covid-19
a2r69000006SkaH,a266900000Bsdsq,09.10.2023,Tangen Biosciences,TangenDx SARS-CoV-2 Molecular Test,SARS-CoV-2,Regulatory Achieved,United States,Region of the Americas,https://tangenbiosciences.com/,None,88,100,Molecular,RNA,N gene,Isothermal LAMP,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Mid-turbinate swab; Nasal swab; Nasopharyngeal swab,NA,No,Not applicable,Unknown,Branford,Yes,Yes,Company-Sponsored,44,52,102,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,"Branford, United States",41.27980042,-72.81404114,Covid-19
a2r69000007lb62,a266900000BsciN,06.07.2023,Molbio Diagnostics Pvt. Ltd.,Truenat Sars-cov-2,SARS-CoV-2,Regulatory Achieved,India,South-East Asian Region,https://molbiodiagnostics.com,India CDSCO; WHO EUL Under Assessment,100,100,Molecular,RNA,E gene; ORF1ab,qPCR,Cartridge-based processing,A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,Unknown,Yes,Unknown,Not applicable,"Verna Industrial Estate, Verna,",Yes,Yes,Company-Sponsored,45,74,119,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Covid-19
a2r69000007lb63,a266900000Bsbvz,06.07.2023,Apollo Biomedical llc,Novel SARS-CoV-2 Coronavirus Spike Glycoprotein Detection Kit (S Protein-ACE2 re,SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://new-gene.net,CE-IVDD,NA,NA,Immunoassay,Antigen,S-protein (type unknown),Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Faeces; Sputum,NA,No,Unknown,Not applicable,Hangzhou,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,"Hangzhou, China",30.24592018,120.21079254,Covid-19
a2r69000007lb64,a266900000Bsbw9,06.07.2023,ArcDia International ltd.,mariPOC SARS-CoV-2,SARS-CoV-2,Regulatory Achieved,Finland,European Region,https://arcdia.com,CE-IVDD,92.3,100,Immunoassay,Antigen,N-protein,ELISA/EIA,IA Reagent Kit,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Nasopharyngeal swab,Yes,No,Unknown,Not applicable,Turku,Yes,Yes,Company-Sponsored,0,0,0,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Finland,"Turku, Finland",60.45175171,22.2670517,Covid-19
a2r69000007lb65,a266900000BscVL,06.07.2023,HiberGene Diagnostics,HG COVID-19,SARS-CoV-2,Regulatory Achieved,Ireland,European Region,https://hibergene.com,CE-IVDD,100,100,Molecular,RNA,N gene,Isothermal LAMP,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,Yes,No,Unknown,Not applicable,Dublin,Yes,Yes,Company-Sponsored,27,40,67,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ireland,"Dublin, Ireland",53.34938049,-6.26055908,Covid-19
a2r69000007lb65,a266900000BscVM,06.07.2023,HiberGene Diagnostics,HG COVID-19,SARS-CoV-2,Regulatory Achieved,Ireland,European Region,https://hibergene.com,CE-IVDD,100,100,Molecular,RNA,N gene,Isothermal LAMP,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,Yes,No,Unknown,Not applicable,Dublin,Yes,Yes,Company-Sponsored,27,40,67,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ireland,"Dublin, Ireland",53.34938049,-6.26055908,Covid-19
a2r69000007lb66,a266900000BscbK,06.07.2023,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",SARS-CoV-2 Delta variant Real-Time RT-PCR Test,SARS-CoV-2,Regulatory Achieved,China,Western Pacific Region,https://joinstar.cn,CE-IVDD,100,100,Molecular,RNA,ORF1ab; Other,qPCR,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,No,Unknown,Delta,Hangzhou,Yes,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China,"Hangzhou, China",30.24592018,120.21079254,Covid-19
a2r69000007lb6K,a266900000Bscg0,06.07.2023,Med FairSourcing GmbH,v-spect,SARS-CoV-2,Research Use Only (RUO),Germany,European Region,https://med-fairsourcing.de,Unknown,99,96,Molecular,RNA,Other,Infrared spectrometry,Unspecified,Standard lab instrumentation is required,Automated (excluding sample preparation),True Point of Care,Intended for self-testing (in development),Oropharyngeal swab,NA,No,Unknown,Not applicable,Gauting,Yes,Yes,Company-Sponsored,500,2000,2500,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,"Gauting, Germany",48.06649399,11.38015842,Covid-19
a2r69000007lb6L,a266900000Bsccu,13.07.2023,Laipac Technology Inc.,LooK SPOT,SARS-CoV-2,Regulatory Achieved,Canada,Region of the Americas,https://laipac.com,CE-IVDD; Germany BfArM; Other,97.37,98.25,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,No,Unknown,Not applicable,Richmond Hill,Yes,Yes,Company-Sponsored,38,57,95,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Canada,"Richmond Hill, Canada",43.87586975,-79.43827057,Covid-19
